seller_id,seller_state,seller_city,performance_tier,total_orders,avg_delivery_days,avg_shipping_days,avg_approval_delay,late_rate_pct,late_orders,on_time_orders,total_revenue,avg_freight,avg_deviation
001cca7ae9ae17fb1caed9dfb1094831,ES,cariacica,Tier 2 - Average,195,13.1,2.64,0.45,6.67,13,221,24487.03,36.99089743589744,-12.57
002100f778ceb8431b7a1020ff7ab48f,SP,franca,Tier 4 - Critical,50,16.19,4.5,0.95,18.0,9,45,1216.6,14.417777777777777,-7.4
004c9cd9d87a3c30c522c48c4fc07416,SP,ibitinga,Tier 2 - Average,156,14.43,1.75,0.34,8.33,13,155,19569.73,20.977916666666665,-11.33
00720abe85ba0859807595bbf045a33b,SP,guarulhos,Tier 2 - Average,13,8.53,2.81,0.19,15.38,2,24,1007.5,12.153076923076924,-12.02
00ee68308b45bc5e2660cd833c3f81cc,SP,sao paulo,Tier 2 - Average,135,9.17,2.07,0.54,10.37,14,158,20260.0,18.49220930232558,-10.16
00fc707aaaad2d31347cf883cd2dfe10,PR,maringa,Tier 3 - Poor,103,15.77,2.78,0.41,5.83,6,129,12684.9,16.926592592592595,-14.83
013900e863eace745d3ec7614cab5b1a,PR,curitiba,Tier 2 - Average,23,11.49,3.15,0.15,0.0,0,26,1619.7,18.064230769230768,-15.36
014c0679dd340a0e338872e7ec85666a,MG,timoteo,Tier 3 - Poor,14,19.02,5.59,0.26,14.29,2,13,7058.0,41.88733333333333,-11.05
014d9a685fd57276679edd00e07089e5,PR,maringa,Tier 1 - Excellent,11,8.84,2.4,0.21,0.0,0,12,729.88,12.244166666666667,-11.92
0176f73cc1195f367f7b32db1e5b3aa8,SP,ibitinga,Tier 2 - Average,37,13.38,2.19,0.39,10.81,4,34,4643.2,33.47552631578947,-8.08
01bcc9d254a0143f0ce9791b960b2a47,GO,uruacu,Tier 2 - Average,10,12.79,1.66,0.54,0.0,0,10,1393.21,25.148,-17.62
01cf7e3d21494c41fb86034f2e714fa1,PR,francisco beltrao,Tier 2 - Average,59,11.57,2.81,0.42,5.08,3,62,9439.56,30.222307692307695,-14.51
01fd077212124329bac32490e8ef80d9,SP,ribeirao preto / sao paulo,Tier 1 - Excellent,31,7.99,1.39,0.35,3.23,1,38,1208.0,14.752820512820513,-11.21
01fdefa7697d26ad920e9e0346d4bd1b,PR,londrina,Tier 2 - Average,128,10.75,1.79,0.37,6.25,8,122,14802.53,21.002,-12.99
0241d4d5d36f10f80c644447315af0bd,PR,curitiba,Tier 2 - Average,238,10.94,2.12,0.44,5.88,14,232,31397.7,27.86142276422764,-12.31
0249d282d911d23cb8b869ab49c99f53,SP,sao paulo,Tier 3 - Poor,11,10.26,4.5,0.32,18.18,2,9,393.0,12.625454545454545,-7.53
02c988090b766852e088c69d7fb3b551,SP,americana,Tier 1 - Excellent,12,8.52,1.87,0.64,0.0,0,16,1564.37,12.910625,-10.21
02d35243ea2e497335cd0f076b45675d,RN,natal,Tier 4 - Critical,14,25.81,10.31,0.53,42.86,6,10,5794.0,37.871875,-5.55
02dcd3e8e25bee036e32512bcf175493,MG,contagem,Tier 4 - Critical,13,17.23,4.19,0.79,38.46,5,10,1341.9,18.772666666666666,-5.26
02ecc2a19303f05e59ce133fd923fff7,SP,santo andre,Tier 2 - Average,21,10.82,4.12,0.61,0.0,0,24,5264.19,19.925416666666667,-14.32
02f5837340d7eb4f653d676c7256523a,PR,curitiba,Tier 1 - Excellent,30,9.66,2.58,0.34,3.33,1,29,3883.05,19.361,-16.67
02f623a8eb246f3c5f7c2f96462654e6,SP,botucatu,Tier 2 - Average,44,8.48,1.17,0.43,9.09,4,40,6378.0,18.855227272727273,-9.97
0417b067eeab773d2f7061a726dc477f,SC,sao bento do sul,Tier 4 - Critical,13,17.56,1.8,0.49,30.77,4,9,1859.18,49.42846153846154,-3.19
04308b1ee57b6625f47df1d56f00eedf,SC,bombinhas,Tier 3 - Poor,92,18.88,6.34,0.54,11.96,11,81,58991.8,32.05239130434783,-10.88
0432ead42b6c8a0bdf68154add917fdf,SP,maua,Tier 1 - Excellent,82,8.86,1.68,0.34,3.66,3,84,7574.4,13.563218390804598,-12.77
048c2757535328e0d7dac690ad3c0aae,SP,franca,Tier 3 - Poor,50,18.51,2.89,0.47,14.0,7,43,9065.08,24.9466,-9.29
04aa0a1c5ce6b222003403a3e11c3cc0,SP,cosmopolis,Tier 4 - Critical,11,16.36,4.33,0.63,18.18,2,15,5518.0,48.32411764705882,-15.9
04aba03279157f6d4e0fe8ccaf21963c,RJ,santo antonio de padua,Tier 2 - Average,15,11.62,3.63,0.38,6.67,1,14,2416.0,21.282,-13.26
04e38a233f726ef161074ab1c9b0399a,SP,sao paulo,Tier 2 - Average,19,11.58,5.93,0.46,15.79,3,21,991.6,14.819583333333334,-5.19
0509040ea3fe50071181bbc359eb7738,MG,belo horizonte,Tier 2 - Average,87,11.38,2.24,0.37,6.9,6,90,3689.35,14.686458333333333,-10.06
054694fa03fe82cec4b7551487331d74,SP,itajobi,Tier 4 - Critical,20,30.17,10.14,0.91,30.0,6,15,8286.1,31.44,-1.37
056b4ada5bbc2c50cc7842547dda6b51,RJ,queimados,Tier 2 - Average,64,12.71,2.09,0.43,10.94,7,58,12203.4,19.729076923076924,-11.72
058cb5aeb36d7c0fcae20fc85d5e0a59,RJ,rio de janeiro,Tier 2 - Average,11,9.68,3.43,0.62,9.09,1,11,1236.0,62.318333333333335,-10.81
058fd0aa2bfdb2274e05e1ae971dabb6,SP,santo andre,Tier 2 - Average,60,10.22,1.93,0.33,8.33,5,58,7549.9,13.95047619047619,-11.12
